"Statistic Label","Year","County","Penalty Points Applied","UNIT","VALUE"
"Drivers cumulative penalty points","2022","Carlow","Total penalty points","Number","7182"
"Drivers cumulative penalty points","2022","Carlow","1 penalty point","Number","27"
"Drivers cumulative penalty points","2022","Carlow","2 penalty points","Number","504"
"Drivers cumulative penalty points","2022","Carlow","3 penalty points","Number","4989"
"Drivers cumulative penalty points","2022","Carlow","4 penalty points","Number","99"
"Drivers cumulative penalty points","2022","Carlow","5 penalty points","Number","436"
"Drivers cumulative penalty points","2022","Carlow","6 penalty points","Number","871"
"Drivers cumulative penalty points","2022","Carlow","7 penalty points","Number","8"
"Drivers cumulative penalty points","2022","Carlow","8 penalty points","Number","45"
"Drivers cumulative penalty points","2022","Carlow","9 penalty points","Number","150"
"Drivers cumulative penalty points","2022","Carlow","10 penalty points","Number","23"
"Drivers cumulative penalty points","2022","Carlow","11 penalty points","Number","14"
"Drivers cumulative penalty points","2022","Carlow","12 penalty points","Number","16"
"Drivers cumulative penalty points","2022","Cavan","Total penalty points","Number","8559"
"Drivers cumulative penalty points","2022","Cavan","1 penalty point","Number","27"
"Drivers cumulative penalty points","2022","Cavan","2 penalty points","Number","578"
"Drivers cumulative penalty points","2022","Cavan","3 penalty points","Number","6035"
"Drivers cumulative penalty points","2022","Cavan","4 penalty points","Number","93"
"Drivers cumulative penalty points","2022","Cavan","5 penalty points","Number","609"
"Drivers cumulative penalty points","2022","Cavan","6 penalty points","Number","930"
"Drivers cumulative penalty points","2022","Cavan","7 penalty points","Number","23"
"Drivers cumulative penalty points","2022","Cavan","8 penalty points","Number","70"
"Drivers cumulative penalty points","2022","Cavan","9 penalty points","Number","139"
"Drivers cumulative penalty points","2022","Cavan","10 penalty points","Number","18"
"Drivers cumulative penalty points","2022","Cavan","11 penalty points","Number","18"
"Drivers cumulative penalty points","2022","Cavan","12 penalty points","Number","19"
"Drivers cumulative penalty points","2022","Clare","Total penalty points","Number","14551"
"Drivers cumulative penalty points","2022","Clare","1 penalty point","Number","35"
"Drivers cumulative penalty points","2022","Clare","2 penalty points","Number","753"
"Drivers cumulative penalty points","2022","Clare","3 penalty points","Number","10443"
"Drivers cumulative penalty points","2022","Clare","4 penalty points","Number","115"
"Drivers cumulative penalty points","2022","Clare","5 penalty points","Number","814"
"Drivers cumulative penalty points","2022","Clare","6 penalty points","Number","1848"
"Drivers cumulative penalty points","2022","Clare","7 penalty points","Number","28"
"Drivers cumulative penalty points","2022","Clare","8 penalty points","Number","129"
"Drivers cumulative penalty points","2022","Clare","9 penalty points","Number","304"
"Drivers cumulative penalty points","2022","Clare","10 penalty points","Number","33"
"Drivers cumulative penalty points","2022","Clare","11 penalty points","Number","31"
"Drivers cumulative penalty points","2022","Clare","12 penalty points","Number","18"
"Drivers cumulative penalty points","2022","Cork","Total penalty points","Number","59797"
"Drivers cumulative penalty points","2022","Cork","1 penalty point","Number","172"
"Drivers cumulative penalty points","2022","Cork","2 penalty points","Number","3206"
"Drivers cumulative penalty points","2022","Cork","3 penalty points","Number","43527"
"Drivers cumulative penalty points","2022","Cork","4 penalty points","Number","686"
"Drivers cumulative penalty points","2022","Cork","5 penalty points","Number","3121"
"Drivers cumulative penalty points","2022","Cork","6 penalty points","Number","7220"
